config,max_scale,corr,head_corr,head_corr_min,max_err,mean_err,fail_pct,out_std
gpt2,1.0,0.9761233806565988,0.9756672152071202,0.971337590430344,0.0390625,0.006867458578199148,0.0,0.04100627452135086
gpt2,1.5,0.9777930150354796,0.9773434538290614,0.9728921895807746,0.0390625,0.006162112113088369,0.0,0.03884030133485794
gpt2,2.0,0.9655078755949164,0.9643095795774984,0.9559994381457575,0.0390625,0.006109347101300955,0.0,0.030654827132821083
gpt2,2.5,0.9856448332034531,0.9851535586176139,0.9812269309150782,0.0390625,0.006163053214550018,0.0,0.04841507598757744
gpt2,3.0,0.991001961546206,0.9907051990940708,0.9877679388005383,0.0390625,0.006332747638225555,0.0,0.06256153434515
gpt2,3.5,0.9942908972409434,0.9940982331992495,0.9919754525251308,0.0546875,0.006348433438688517,0.0,0.07744930684566498
gpt2,4.0,0.9957253869270267,0.9956025474241291,0.9941124366931948,0.0703125,0.0071092345751821995,0.0,0.09573111683130264
gpt2,5.0,0.9966584135341445,0.9965874682582386,0.9956315330851773,0.1015625,0.009559636004269123,0.0,0.14161886274814606
gpt2,6.0,0.9969025019455123,0.996813030571169,0.9959349517367263,0.1171875,0.01255609467625618,0.0,0.19474947452545166
gpt2,8.0,0.9978042659845234,0.9977756798834329,0.9974473048585052,0.1796875,0.015565616078674793,0.0005086263020833333,0.2963431179523468
gpt2,10.0,0.9972155525614331,0.9971907499071259,0.9963555492269915,0.34375,0.020635588094592094,0.061353047688802086,0.3759642243385315
